time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
47	654.0027507785644	1	1	1	1	0	0	654.0027507785644	46.0	0	0.11462239037623902	0.8241563677607445	1.0792163875117737	42009.815465874475	0.0	4826.205910578486	5620.205986361783	1109.5227869451774	9.41522970042114	10446.41189694027	8.559244649379507E-8	
48	671.1826216938364	1	1	1	1	0	0	671.1826216938364	47.0	0	0.11876798648656446	0.8185715866787068	1.0810305239293065	45131.039449031865	0.0	5000.7573257500835	5852.941206590581	1162.710478039027	9.334824736976657	10853.698532340664	9.060848591052136E-8	
49	688.4808289632282	1	1	1	1	0	0	688.4808289632282	48.0	0	0.12302877722988718	0.8184151455370989	1.082951590472616	48346.868119561645	0.0	5180.159041258408	6092.143493935015	1216.83475259296	9.263626397235294	11272.302535193423	9.421467389822725E-8	
50	705.8964397049821	1	1	1	1	0	0	705.8964397049821	49.0	0	0.1273432905590734	0.8150059463490008	1.0744748731179343	51680.45841880745	0.0	5361.822760382039	6334.361786099855	1271.8610305985349	9.196118337691106	11696.184546481894	1.0856371697098956E-7	
51	723.4284862481575	1	1	1	1	0	0	723.4284862481575	50.0	0	0.1316474961425554	0.8086787500166822	1.0783701693413899	55131.06819166582	0.0	5543.052469160227	6576.001397804106	1327.7528263992358	9.127492426305189	12119.053866964332	1.0586705388421352E-7	
52	741.0759664193732	1	1	1	1	0	0	741.0759664193732	51.0	0	0.13590354966714435	0.8035905535785042	1.0722431764008233	58683.150809285995	0.0	5722.254722827131	6814.937736026646	1384.471737704387	9.055578468970324	12537.192458853777	1.1481018529742903E-7	
53	758.8378438397727	1	1	1	1	0	0	758.8378438397727	52.0	0	0.14028550134592627	0.7949798567689285	1.0687270403604816	62329.28288044133	0.0	5906.757951407423	7060.942040800368	1441.9774367147336	8.992997852832001	12967.699992207792	1.2849046404427917E-7	
54	776.7130482321257	1	1	1	1	0	0	776.7130482321257	53.0	0	0.14472682841047402	0.7932467713317595	1.0617334980687057	66086.51580953764	0.0	6093.761196230486	7310.2797005644525	1500.2276634099092	8.934671199388847	13404.040896794939	1.306033272329554E-7	
55	794.7004757379742	1	1	1	1	0	0	794.7004757379742	54.0	0	0.14915840594195406	0.7974616357307245	1.0654599621986776	69972.57033744977	0.0	6280.3539343980665	7559.070018121226	1559.1782210455424	8.876101375530343	13839.423952519293	1.3636479828407346E-7	
56	812.7989892447297	1	1	1	1	0	0	812.7989892447297	55.0	0	0.15355059818969521	0.7874984857099777	1.0662969799333317	73925.09977853393	0.0	6465.288344829272	7805.649232029502	1618.7829739051945	8.815843634944585	14270.937576858774	1.3843401595812546E-7	
57	831.0074187226243	1	1	1	1	0	0	831.0074187226243	56.0	0	0.15807377595665717	0.7828805935751155	1.0686233509123502	77985.3287666537	0.0	6655.737935017144	8059.582018946665	1678.9938473496215	8.764368003606863	14715.319953963808	1.5214543740388687E-7	
58	849.3245615714155	1	1	1	1	0	0	849.3245615714155	57.0	0	0.162656173437457	0.7749690320071365	1.0604794308815269	82143.39101849502	0.0	6848.680986840295	8316.839421377532	1739.7608302030565	8.717014514258135	15165.520408217828	1.568602948165591E-7	
59	867.7491829767431	1	1	1	1	0	0	867.7491829767431	58.0	0	0.16722340352448992	0.7767299902232284	1.061951685065513	86451.65512943706	0.0	7040.98541155747	8573.245321000433	1801.0319795132948	8.66960215596918	15614.230732557902	1.6407507890844E-7	
60	886.2800162760307	1	1	1	1	0	0	886.2800162760307	59.0	0	0.17174251363988602	0.7746237408749852	1.0577989511698513	90876.73744307428	0.0	7231.263732205728	8826.94974853144	1862.753427719352	8.620686582441522	16058.21348073717	1.6735400094195117E-7	
