time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
44	603.1819574050269	1	1	1	1	0	0	603.1819574050269	43.0	0	0.08829582861242594	0.8116138499795129	1.0842074357775573	17366.43744564485	0.0	3717.719099470565	4360.466416652163	840.9696874580068	9.605798682875959	8078.185516122729	3.719944069750962E-8	
45	620.0015739432909	1	1	1	1	0	0	620.0015739432909	44.0	0	0.0924839978126751	0.8189644755184786	1.0874572851032616	18416.869182591217	0.0	3894.063065796846	4595.591705087204	891.1589969540848	9.526532077778555	8489.65477088405	3.5278743724308086E-8	
46	636.9421140335545	1	1	1	1	0	0	636.9421140335545	45.0	0	0.09671605063388097	0.8187263770856104	1.0897473457317743	19512.907554362355	0.0	4072.25476353183	4833.180635400516	942.3773364642985	9.449967708629975	8905.435398932346	3.7411307193646176E-8	
47	654.0027507785644	1	1	1	1	0	0	654.0027507785644	46.0	0	0.1009328438573841	0.8086190464780334	1.0861276587917224	20438.238230636052	0.0	4249.803951889857	5069.912886544551	994.5957566924836	9.370356524973538	9319.716838434408	3.443443700135019E-8	
48	671.1826216938364	1	1	1	1	0	0	671.1826216938364	47.0	0	0.10507843996770955	0.8102557494327993	1.0876167031733541	21298.203408333582	0.0	4424.355367061455	5302.648106773348	1047.7834477863332	9.283410130581066	9727.003473834804	3.288433639329395E-8	
49	688.4808289632282	1	1	1	1	0	0	688.4808289632282	48.0	0	0.10933923071103227	0.8163908035057689	1.0852001957453843	22259.21096994756	0.0	4603.75708256978	5541.850394117782	1101.9077223402662	9.207311348304197	10145.607476687563	3.9005066569512514E-8	
50	705.8964397049821	1	1	1	1	0	0	705.8964397049821	49.0	0	0.1136537440402185	0.8162019238608027	1.07532670702497	23079.138915053463	0.0	4785.420801693411	5784.068686282623	1156.934000345841	9.135775666387632	10569.489487976034	3.6684589047076124E-8	
51	723.4284862481575	1	1	1	1	0	0	723.4284862481575	50.0	0	0.11795794962370046	0.8054591092512504	1.0709485444039935	23864.891031222436	0.0	4966.650510471599	6025.708297986874	1212.825796146542	9.063427611272791	10992.358808458474	3.71740070701274E-8	
52	741.0759664193732	1	1	1	1	0	0	741.0759664193732	51.0	0	0.12221400314828945	0.7966852656451073	1.0754099584121315	24575.355556319824	0.0	5145.852764138504	6264.644636209414	1269.544707451693	8.98786575484353	11410.497400347918	3.496760734927597E-8	
53	758.8378438397727	1	1	1	1	0	0	758.8378438397727	52.0	0	0.12659595482707137	0.802090488546749	1.073918184785515	25287.219075833375	0.0	5330.355992718796	6510.648940983136	1327.0504064620397	8.922799673654026	11841.004933701932	3.654623944082172E-8	
54	776.7130482321257	1	1	1	1	0	0	776.7130482321257	53.0	0	0.13103728189161915	0.8042119084491757	1.0741814626097905	25862.000533284605	0.0	5517.359237541859	6759.98660074722	1385.3006331572153	8.862585885280357	12277.345838289079	3.670074446309832E-8	
55	794.7004757379742	1	1	1	1	0	0	794.7004757379742	54.0	0	0.13546885942309916	0.7900023227325824	1.0657235425643776	26469.22810953022	0.0	5703.9519757094395	7008.7769183039945	1444.2511907928485	8.802297671663712	12712.728894013435	3.6769208028361724E-8	
56	812.7989892447297	1	1	1	1	0	0	812.7989892447297	55.0	0	0.13986105167084031	0.7910543194326093	1.0671551924387188	27001.141278843526	0.0	5888.886386140645	7255.35613221227	1503.8559436525006	8.740360121481281	13144.242518352916	3.491273166395017E-8	
57	831.0074187226243	1	1	1	1	0	0	831.0074187226243	56.0	0	0.14438422943780227	0.7852517157033547	1.0619931095101967	27548.863584807732	0.0	6079.335976328517	7509.2889191294325	1564.0668170969277	8.688007920710104	13588.62489545795	3.90839618214906E-8	
58	849.3245615714155	1	1	1	1	0	0	849.3245615714155	57.0	0	0.1489666269186021	0.7857374397190652	1.0700343960820513	28049.005680520146	0.0	6272.279028151668	7766.5463215602995	1624.8337999503626	8.640160827612549	14038.825349711968	3.807496744190843E-8	
59	867.7491829767431	1	1	1	1	0	0	867.7491829767431	58.0	0	0.15353385700563502	0.7817635963212568	1.0600771051051463	28420.781589412945	0.0	6464.583452868843	8022.9522211832	1686.104949260601	8.592309559618569	14487.535674052044	3.499937689609885E-8	
60	886.2800162760307	1	1	1	1	0	0	886.2800162760307	59.0	0	0.15805296712103112	0.7817736330521368	1.0615338818224267	32953.83098542131	0.0	6654.8617735171	8276.656648714208	1747.8263974666581	8.542907032342235	14931.518422231307	1.593555135159818E-7	
