ivol x_MIN3P z_MIN3P RSD
 489 1.591837 0.367347 0.000000
 490 1.632653 0.367347 0.000000
 491 1.673469 0.367347 0.000000
 492 1.714286 0.367347 0.000000
 493 1.755102 0.367347 0.000000
 494 1.795918 0.367347 0.000000
 495 1.836735 0.367347 0.000000
 496 1.877551 0.367347 0.000000
 497 1.918367 0.367347 0.000000
 498 1.959184 0.367347 0.000000
 499 2.000000 0.367347 0.000000
 500 0.000000 0.408163 0.000000
 501 0.040816 0.408163 0.000000
 502 0.081633 0.408163 0.000000
 503 0.122449 0.408163 0.000000
 504 0.163265 0.408163 0.000000
 505 0.204082 0.408163 0.000000
 506 0.244898 0.408163 0.000000
 507 0.285714 0.408163 0.000000
 508 0.326531 0.408163 0.000000
 509 0.367347 0.408163 0.000000
 510 0.408163 0.408163 0.000000
 511 0.448980 0.408163 0.000000
 512 0.489796 0.408163 0.000000
 513 0.530612 0.408163 0.000000
 514 0.571429 0.408163 0.000000
 515 0.612245 0.408163 0.000000
 516 0.653061 0.408163 0.076576
 517 0.693878 0.408163 0.038288
 518 0.734694 0.408163 0.000000
 519 0.775510 0.408163 0.000000
 520 0.816327 0.408163 0.000000
 521 0.857143 0.408163 0.000000
 522 0.897959 0.408163 0.051051
 523 0.938776 0.408163 0.063814
 524 0.979592 0.408163 0.000000
 525 1.020408 0.408163 0.000000
 526 1.061224 0.408163 0.000000
 527 1.102041 0.408163 0.000000
 528 1.142857 0.408163 0.000000
 529 1.183674 0.408163 0.000000
 530 1.224490 0.408163 0.000000
 531 1.265306 0.408163 0.000000
 532 1.306122 0.408163 0.000000
 533 1.346939 0.408163 0.000000
 534 1.387755 0.408163 0.000000
 535 1.428571 0.408163 0.000000
 536 1.469388 0.408163 0.000000
 537 1.510204 0.408163 0.000000
 538 1.551020 0.408163 0.000000
 539 1.591837 0.408163 0.000000
 540 1.632653 0.408163 0.000000
 541 1.673469 0.408163 0.000000
 542 1.714286 0.408163 0.000000
 543 1.755102 0.408163 0.000000
 544 1.795918 0.408163 0.000000
 545 1.836735 0.408163 0.000000
 546 1.877551 0.408163 0.000000
 547 1.918367 0.408163 0.000000
 548 1.959184 0.408163 0.000000
 549 2.000000 0.408163 0.000000
 550 0.000000 0.448980 0.000000
 551 0.040816 0.448980 0.000000
 552 0.081633 0.448980 0.000000
 553 0.122449 0.448980 0.000000
 554 0.163265 0.448980 0.000000
 555 0.204082 0.448980 0.000000
 556 0.244898 0.448980 0.000000
 557 0.285714 0.448980 0.000000
 558 0.326531 0.448980 0.000000
 559 0.367347 0.448980 0.000000
 560 0.408163 0.448980 0.000000
 561 0.448980 0.448980 0.000000
 562 0.489796 0.448980 0.000000
 563 0.530612 0.448980 0.000000
 564 0.571429 0.448980 0.000000
 565 0.612245 0.448980 0.000000
 566 0.653061 0.448980 0.127627
 567 0.693878 0.448980 0.000000
 568 0.734694 0.448980 0.000000
 569 0.775510 0.448980 0.000000
 570 0.816327 0.448980 0.000000
 571 0.857143 0.448980 0.000000
 572 0.897959 0.448980 0.000000
 573 0.938776 0.448980 0.102102
 574 0.979592 0.448980 0.000000
 575 1.020408 0.448980 0.000000
 576 1.061224 0.448980 0.000000
 577 1.102041 0.448980 0.000000
 578 1.142857 0.448980 0.000000
 579 1.183674 0.448980 0.000000
 580 1.224490 0.448980 0.000000
 581 1.265306 0.448980 0.000000
 582 1.306122 0.448980 0.000000
 583 1.346939 0.448980 0.000000
 584 1.387755 0.448980 0.000000
 585 1.428571 0.448980 0.000000
 586 1.469388 0.448980 0.000000
 587 1.510204 0.448980 0.000000
 588 1.551020 0.448980 0.000000
 589 1.591837 0.448980 0.000000
 590 1.632653 0.448980 0.000000
 591 1.673469 0.448980 0.000000
 592 1.714286 0.448980 0.000000
 593 1.755102 0.448980 0.000000
 594 1.795918 0.448980 0.000000
 595 1.836735 0.448980 0.000000
